well,row,col,media,strain,colony,rep
A1,A,1,LB,blank,blank,blank
B1,B,1,LB,blank,blank,blank
C1,C,1,LB,blank,blank,blank
D1,D,1,LB,blank,blank,blank
E1,E,1,LB,blank,blank,blank
F1,F,1,LB,blank,blank,blank
G1,G,1,LB,blank,blank,blank
H1,H,1,LB,blank,blank,blank
A2,A,2,LB,blank,blank,blank
B2,B,2,LB,WT,COL1,a
C2,C,2,LB,WT,COL2,a
D2,D,2,LB,WT,COL3,a
E2,E,2,LB,dSpoIIE,COL1,a
F2,F,2,LB,dSpoIIE,COL2,a
G2,G,2,LB,dSpoIIE,COL3,a
H2,H,2,LB,blank,blank,blank
A3,A,3,LB,blank,blank,blank
B3,B,3,LB,WT,COL1,b
C3,C,3,LB,WT,COL2,b
D3,D,3,LB,WT,COL3,b
E3,E,3,LB,dSpoIIE,COL1,b
F3,F,3,LB,dSpoIIE,COL2,b
G3,G,3,LB,dSpoIIE,COL3,b
H3,H,3,LB,blank,blank,blank
A4,A,4,LB,blank,blank,blank
B4,B,4,LB,WT,COL1,c
C4,C,4,LB,WT,COL2,c
D4,D,4,LB,WT,COL3,c
E4,E,4,LB,dSpoIIE,COL1,c
F4,F,4,LB,dSpoIIE,COL2,c
G4,G,4,LB,dSpoIIE,COL3,c
H4,H,4,LB,blank,blank,blank
A5,A,5,LB,blank,blank,blank
B5,B,5,LB,WT,COL1,d
C5,C,5,LB,WT,COL2,d
D5,D,5,LB,WT,COL3,d
E5,E,5,LB,dSpoIIE,COL1,d
F5,F,5,LB,dSpoIIE,COL2,d
G5,G,5,LB,dSpoIIE,COL3,d
H5,H,5,LB,blank,blank,blank
A6,A,6,LB,blank,blank,blank
B6,B,6,LB,WT,COL1,e
C6,C,6,LB,WT,COL2,e
D6,D,6,LB,WT,COL3,e
E6,E,6,LB,dSpoIIE,COL1,e
F6,F,6,LB,dSpoIIE,COL2,e
G6,G,6,LB,dSpoIIE,COL3,e
H6,H,6,LB,blank,blank,blank
A7,A,7,DSM,blank,blank,blank
B7,B,7,DSM,WT,COL1,a
C7,C,7,DSM,WT,COL2,a
D7,D,7,DSM,WT,COL3,a
E7,E,7,DSM,dSpoIIE,COL1,a
F7,F,7,DSM,dSpoIIE,COL2,a
G7,G,7,DSM,dSpoIIE,COL3,a
H7,H,7,DSM,blank,blank,blank
A8,A,8,DSM,blank,blank,blank
B8,B,8,DSM,WT,COL1,b
C8,C,8,DSM,WT,COL2,b
D8,D,8,DSM,WT,COL3,b
E8,E,8,DSM,dSpoIIE,COL1,b
F8,F,8,DSM,dSpoIIE,COL2,b
G8,G,8,DSM,dSpoIIE,COL3,b
H8,H,8,DSM,blank,blank,blank
A9,A,9,DSM,blank,blank,blank
B9,B,9,DSM,WT,COL1,c
C9,C,9,DSM,WT,COL2,c
D9,D,9,DSM,WT,COL3,c
E9,E,9,DSM,dSpoIIE,COL1,c
F9,F,9,DSM,dSpoIIE,COL2,c
G9,G,9,DSM,dSpoIIE,COL3,c
H9,H,9,DSM,blank,blank,blank
A10,A,10,DSM,blank,blank,blank
B10,B,10,DSM,WT,COL1,d
C10,C,10,DSM,WT,COL2,d
D10,D,10,DSM,WT,COL3,d
E10,E,10,DSM,dSpoIIE,COL1,d
F10,F,10,DSM,dSpoIIE,COL2,d
G10,G,10,DSM,dSpoIIE,COL3,d
H10,H,10,DSM,blank,blank,blank
A11,A,11,DSM,blank,blank,blank
B11,B,11,DSM,WT,COL1,e
C11,C,11,DSM,WT,COL2,e
D11,D,11,DSM,WT,COL3,e
E11,E,11,DSM,dSpoIIE,COL1,e
F11,F,11,DSM,dSpoIIE,COL2,e
G11,G,11,DSM,dSpoIIE,COL3,e
H11,H,11,DSM,blank,blank,blank
A12,A,12,DSM,blank,blank,blank
B12,B,12,DSM,blank,blank,blank
C12,C,12,DSM,blank,blank,blank
D12,D,12,DSM,blank,blank,blank
E12,E,12,DSM,blank,blank,blank
F12,F,12,DSM,blank,blank,blank
G12,G,12,DSM,blank,blank,blank
H12,H,12,DSM,blank,blank,blank
