exp.date,flask,cells,t.sample,volPlated.ml,plaques,pfu.ml
MAY17th,A,Spores,5,0.01,5,25000
MAY17th,A,Spores,10,0.01,4,20000
MAY17th,B,Stationary-phase,5,0.01,0,0
MAY17th,B,Stationary-phase,10,0.01,0,0
MAY17th,C,Log-phase,5,0.01,NA,NA
MAY17th,C,Log-phase,10,0.01,NA,NA
MAY17th,D,no-cells,0,0.01,0,0
MAY17th,D,no-cells,0,0.01,0,0
MAY17th,A,Spores,5,0.1,23,11500
MAY17th,A,Spores,10,0.1,25,12500
MAY17th,B,Stationary-phase,5,0.1,5,2500
MAY17th,B,Stationary-phase,10,0.1,9,4500
MAY17th,C,Log-phase,5,0.1,NA,NA
MAY17th,C,Log-phase,10,0.1,NA,NA
MAY17th,D,no-cells,0,0.1,20,10000
MAY17th,D,no-cells,0,0.1,19,9500
MAY20th,A,Spores,5,0.01,8,40000
MAY20th,A,Spores,10,0.01,3,15000
MAY20th,B,Stationary-phase,5,0.01,0,0
MAY20th,B,Stationary-phase,10,0.01,2,10000
MAY20th,C,Log-phase,5,0.01,NA,NA
MAY20th,C,Log-phase,10,0.01,NA,NA
MAY20th,D,no-cells,0,0.01,3,15000
MAY20th,D,no-cells,0,0.01,3,15000
MAY20th,A,Spores,5,0.1,36,18000
MAY20th,A,Spores,10,0.1,32,16000
MAY20th,B,Stationary-phase,5,0.1,7,3500
MAY20th,B,Stationary-phase,10,0.1,13,6500
MAY20th,C,Log-phase,5,0.1,NA,NA
MAY20th,C,Log-phase,10,0.1,NA,NA
MAY20th,D,no-cells,0,0.1,45,22500
MAY20th,D,no-cells,0,0.1,30,15000
MAY24th,A,Spores,5,0.01,8,40000
MAY24th,A,Spores,10,0.01,6,30000
MAY24th,B,Stationary-phase,5,0.01,3,15000
MAY24th,B,Stationary-phase,10,0.01,4,20000
MAY24th,C,Log-phase,5,0.01,1,5000
MAY24th,C,Log-phase,10,0.01,0,0
MAY24th,D,no-cells,0,0.01,4,20000
MAY24th,D,no-cells,0,0.01,8,40000
MAY24th,A,Spores,5,0.1,89,44500
MAY24th,A,Spores,10,0.1,70,35000
MAY24th,B,Stationary-phase,5,0.1,23,11500
MAY24th,B,Stationary-phase,10,0.1,21,10500
MAY24th,C,Log-phase,5,0.1,15,7500
MAY24th,C,Log-phase,10,0.1,19,9500
MAY24th,D,no-cells,0,0.1,67,33500
MAY24th,D,no-cells,0,0.1,73,36500
MAY28th,A,Spores,5,0.01,11,55000
MAY28th,A,Spores,10,0.01,6,30000
MAY28th,B,Stationary-phase,5,0.01,2,10000
MAY28th,B,Stationary-phase,10,0.01,0,0
MAY28th,C,Log-phase,5,0.01,5,25000
MAY28th,C,Log-phase,10,0.01,3,15000
MAY28th,D,no-cells,0,0.01,19,95000
MAY28th,D,no-cells,0,0.01,10,50000
MAY28th,A,Spores,5,0.1,121,60500
MAY28th,A,Spores,10,0.1,126,63000
MAY28th,B,Stationary-phase,5,0.1,10,5000
MAY28th,B,Stationary-phase,10,0.1,14,7000
MAY28th,C,Log-phase,5,0.1,22,11000
MAY28th,C,Log-phase,10,0.1,11,5500
MAY28th,D,no-cells,0,0.1,114,57000
MAY28th,D,no-cells,0,0.1,113,56500
