exp.date,flask,cells,CFU.ml
MAY17th,A,Spores,1.20E+08
MAY17th,B,Stationary-phase,1.90E+08
MAY17th,C,Log-phase,NA
MAY20th,A,Spores,5.00E+07
MAY20th,B,Stationary-phase,1.44E+08
MAY20th,C,Log-phase,NA
MAY24th,A,Spores,7.30E+07
MAY24th,B,Stationary-phase,6.00E+07
MAY24th,C,Log-phase,1.30E+07
MAY28th,A,Spores,1.60E+08
MAY28th,B,Stationary-phase,8.30E+08
MAY28th,C,Log-phase,8.70E+07
